#Parameters = {height=200; phi=0; rad=50; theta=0; wid=200}
#"Wavelength / nm"	"SZmin(1),Zmax(1) (rad=50) [Mag]"	"SZmin(1),Zmax(1) (rad=50) [Pha in deg.]"
#---------------------------------------------------------------------------------------------
1.3000000000000	0.69271672737167	-8.5093358065223
1.3026666666667	0.69906506770974	-12.196446425418
1.3053333333333	0.70268651132449	-15.772434107041
1.3080000000000	0.70462274801661	-19.348561666771
1.3106666666667	0.70742561001987	-23.172703150413
1.3133333333333	0.73087880568684	-28.941647425336
1.3160000000000	0.61579198208554	-24.151613165910
1.3186666666667	0.64177814846072	-30.678792112630
1.3213333333333	0.62948709647699	-35.037177047685
1.3240000000000	0.60489905055346	-39.511302761475
1.3266666666667	0.56614459867124	-44.626071441861
1.3293333333333	0.50428438691860	-51.021266116615
1.3320000000000	0.39751131195239	-59.957692737474
1.3346666666667	0.19010017812966	-74.404781352086
1.3373333333333	0.23944062216109	78.871001976826
1.3400000000000	0.80027064719302	37.718687172454
1.3426666666667	0.99360190746977	5.5613819212517
1.3453333333333	0.98761329910840	-11.714366944355
1.3480000000000	0.95452279791288	-21.753615179549
1.3506666666667	0.92454591247151	-28.498364223445
1.3533333333333	0.90032579629147	-33.561233301148
1.3560000000000	0.88076878120925	-37.667622783637
1.3586666666667	0.86463217078896	-41.182919589264
1.3613333333333	0.85097527568181	-44.309420670418
1.3640000000000	0.83912991103739	-47.168015225382
1.3666666666667	0.82862104183408	-49.835633246447
1.3693333333333	0.81910355169155	-52.363939566110
1.3720000000000	0.81031850775572	-54.789373629123
1.3746666666667	0.80206335772672	-57.138947227120
1.3773333333333	0.79417159494701	-59.434000502545
1.3800000000000	0.78650520488555	-61.693354144273
1.3826666666667	0.77899415099385	-63.935518486581
1.3853333333333	0.77167993353719	-66.168929788528
1.3880000000000	0.76437471078481	-68.389657173603
1.3906666666667	0.75679385179023	-70.614750261052
1.3933333333333	0.74883928413805	-72.863768081769
1.3960000000000	0.74041323924389	-75.151579273225
1.3986666666667	0.73137418850469	-77.493966723675
1.4013333333333	0.72154152273659	-79.910350260323
1.4040000000000	0.71069713511526	-82.426183312181
1.4066666666667	0.69859550831560	-85.077237574117
1.4093333333333	0.68502953383359	-87.919956093165
1.4120000000000	0.67019764087601	-91.067279839890
1.4146666666667	0.65771117518488	-94.927484402988
1.4173333333333	0.18531725641749	-70.025040094058
1.4200000000000	0.56225662403601	-99.972357969644
1.4226666666667	0.52506739078878	-105.28018318384
1.4253333333333	0.46545557608638	-111.21749407377
1.4280000000000	0.37732945719633	-118.60371624539
1.4306666666667	0.24439757215554	-128.37102500021
1.4333333333333	0.041273888943361	-141.87676237064
1.4360000000000	0.25089340930507	19.537843171392
1.4386666666667	0.58457588368171	-3.4071376341542
1.4413333333333	0.83468086339723	-25.921293930691
1.4440000000000	0.95454307103648	-43.707691439469
1.4466666666667	0.99406803319925	-56.525402170412
1.4493333333333	0.99973636391433	-65.817850393537
1.4520000000000	0.99336324712436	-72.848216770304
1.4546666666667	0.98348013123989	-78.428430195392
1.4573333333333	0.97325011460834	-83.052157685089
1.4600000000000	0.96378063484468	-87.023377064183
1.4626666666667	0.95539190412446	-90.535361782966
1.4653333333333	0.94810448528595	-93.715512999495
1.4680000000000	0.94183080779823	-96.650827180524
1.4706666666667	0.93645124778591	-99.402728117220
1.4733333333333	0.93184373691943	-102.01598803539
1.4760000000000	0.92789420464281	-104.52428015573
1.4786666666667	0.92449902595197	-106.95375843580
1.4813333333333	0.92156414017974	-109.32545419703
1.4840000000000	0.91900277453105	-111.65695309167
1.4866666666667	0.91673250604705	-113.96363730974
1.4893333333333	0.91467182495071	-116.25968042644
1.4920000000000	0.91273603316037	-118.55893251108
1.4946666666667	0.91083203190112	-120.87581566023
1.4973333333333	0.90885118629693	-123.22636099458
1.5000000000000	0.90665883833163	-125.62956379904
1.5026666666667	0.90407787686608	-128.10933533251
1.5053333333333	0.90086142868901	-130.69753880573
1.5080000000000	0.89664470708535	-133.43903151411
1.5106666666667	0.89085450657814	-136.40058336457
1.5133333333333	0.88252604832517	-139.68775855975
1.5160000000000	0.86989765239028	-143.47949456932
1.5186666666667	0.84940733737880	-148.10610335985
1.5213333333333	0.81282460979366	-154.24783997293
1.5240000000000	0.73740320775196	-163.52131702102
1.5266666666667	0.54514317766182	179.54249694702
1.5293333333333	0.011651007706867	-36.902760064504
1.5320000000000	0.72213831546650	-84.813080037199
1.5346666666667	0.93974822884431	-111.16918904820
1.5373333333333	0.98575298123569	-124.06362223869
1.5400000000000	0.99686817553969	-131.85015671578
1.5426666666667	0.99959939780332	-137.40732993305
1.5453333333333	1.0000000000000	-141.84454072221
1.5480000000000	1.0000000000000	-145.66746527700
1.5506666666667	1.0000000000000	-149.14280595557
1.5533333333333	0.99998503868351	-152.43297712757
1.5560000000000	0.99998734790016	-155.65536009484
1.5586666666667	0.99987439386372	-158.91573256622
1.5613333333333	0.99938471042233	-162.33717194024
1.5640000000000	0.99797678881507	-166.10248592016
1.5666666666667	0.99433545204383	-170.54685007253
1.5693333333333	0.98450010588295	-176.42296982245
1.5720000000000	0.95216205326243	174.09850740623
1.5746666666667	0.78647988165579	152.04117302678
1.5773333333333	0.20826952537680	-93.528833515284
1.5800000000000	0.83524942020940	-139.71784592400
1.5826666666667	0.94046114256410	-154.75671599181
1.5853333333333	0.97100789209276	-162.31198152317
1.5880000000000	0.98399193566982	-167.35870679022
1.5906666666667	0.99077346198106	-171.28859662427
1.5933333333333	0.99474363095854	-174.62833098749
