#Parameters = {height=160; phi=0; rad=100; theta=0; wid=390}
#"Wavelength / nm"	"SZmin(1),Zmax(1) [Mag]"	"SZmin(1),Zmax(1) [Pha in deg.]"
#---------------------------------------------------------------------------
1.3000000000000	0.77715975606447	-128.89081196426
1.3046666666667	0.65357651095084	-42.288216372636
1.3093333333333	0.91805015766155	-69.689333874068
1.3140000000000	0.96214041979513	-78.792027850182
1.3186666666667	0.97974825807747	-84.608550681379
1.3233333333333	0.99227170083103	-90.556106071455
1.3280000000000	0.99151687311517	-106.74227197668
1.3326666666667	0.89361956323715	-74.294804212033
1.3373333333333	0.96059958444838	-86.300489084325
1.3420000000000	0.97315203490434	-90.656594040470
1.3466666666667	0.97886469669416	-93.694593257319
1.3513333333333	0.98235628493469	-96.249733068231
1.3560000000000	0.98482754139525	-98.568666378782
1.3606666666667	0.98673563209885	-100.75385141846
1.3653333333333	0.98829518928310	-102.85756283498
1.3700000000000	0.98962050312731	-104.91100988737
1.3746666666667	0.99077588945780	-106.93623060697
1.3793333333333	0.99179287221377	-108.95364235651
1.3840000000000	0.99265759041560	-110.99571561741
1.3886666666667	0.99308516085889	-113.20589513143
1.3933333333333	0.99581557154379	-113.43579223305
1.3980000000000	0.99603216545506	-116.53596349421
1.4026666666667	0.99668866392360	-118.69401319118
1.4073333333333	0.99742501540050	-120.83710572332
1.4120000000000	0.99817937676918	-123.04930790724
1.4166666666667	0.99892767592163	-125.40658062795
1.4213333333333	0.99960913919247	-128.05927244573
1.4260000000000	0.99986627769969	-131.45504678487
1.4306666666667	0.99506405185695	-138.07824964642
1.4353333333333	0.76728353439958	-94.285868214250
1.4400000000000	0.99167003804559	-128.16324685305
1.4446666666667	0.99791719617625	-133.45051639575
1.4493333333333	1.0000000000000	-137.29471385915
1.4540000000000	1.0000000000000	-141.17642774834
1.4586666666667	0.99764730997631	-145.93451852640
1.4633333333333	0.98476644528615	-153.39942384458
1.4680000000000	0.88558087223410	-172.53748482814
1.4726666666667	0.42661208546875	-81.673218588427
1.4773333333333	0.96626873825480	-133.06098660582
1.4820000000000	0.95527318818076	-132.37429689813
1.4866666666667	0.97820694924641	-139.21838011095
1.4913333333333	0.98707088494513	-143.74681817533
1.4960000000000	0.99161467683548	-147.70626302958
1.5006666666667	0.99133796124914	-153.09858165118
1.5053333333333	0.99980361076655	-152.20271959461
1.5100000000000	0.99989107826934	-157.60281792569
1.5146666666667	0.96685879906898	-154.94598662247
1.5193333333333	0.93773917618009	179.49125446306
1.5240000000000	0.49997572609458	-101.97678598032
1.5286666666667	0.93097106976765	-142.20314848217
1.5333333333333	0.96985813919761	-151.11629488927
1.5380000000000	0.98164210406983	-155.80693180600
1.5426666666667	0.98714441541696	-159.17758122662
1.5473333333333	0.99032430214475	-161.96451844824
1.5520000000000	0.99240663895237	-164.44028705269
1.5566666666667	0.99388435460303	-166.72954867988
1.5613333333333	0.99499194234972	-168.89771688428
1.5660000000000	0.99585477015703	-170.98261656387
1.5706666666667	0.99654593154148	-173.00777004573
1.5753333333333	0.99711100997666	-174.98866150503
1.5800000000000	0.99758001873343	-176.93596464125
1.5846666666667	0.99797363456583	-178.85732659431
1.5893333333333	0.99830666859430	179.24158802770
1.5940000000000	0.99859010471504	177.35645611230
1.5986666666667	0.99883235197992	175.48388581332
1.6033333333333	0.99904004446144	173.62114413551
1.6080000000000	0.99921856935188	171.76596965731
1.6126666666667	0.99937242494380	169.91643924820
1.6173333333333	0.99950546643632	168.07086958777
1.6220000000000	0.99962107075709	166.22774109839
1.6266666666667	0.99972223135414	164.38563576336
1.6313333333333	0.99981157172634	162.54318227071
1.6360000000000	0.99989123046647	160.69900231408
1.6406666666667	0.99996249590551	158.85165023163
1.6453333333333	1.0000000000000	156.99953258008
1.6500000000000	1.0000000000000	155.14077953650
1.6546666666667	1.0000000000000	153.27300416123
1.6593333333333	1.0000000000000	151.39281903390
1.6640000000000	0.99980731779882	149.49516855128
1.6686666666667	0.99889633388274	147.57939738743
1.6733333333333	0.99679189901877	145.76179068347
1.6780000000000	0.99897725198446	143.93497916311
1.6826666666667	0.99993078219800	141.89334612711
1.6873333333333	0.99994307903202	139.76691473763
1.6920000000000	0.99966173889576	137.43749993071
1.6966666666667	0.99868635206722	134.26305804820
1.7013333333333	0.97190739997737	147.83457834667
1.7060000000000	0.99950138598263	133.92617294455
1.7106666666667	0.99960884744390	130.97753538423
1.7153333333333	0.99953279123576	128.42544159834
1.7200000000000	0.99937331748184	125.87515986322
1.7246666666667	0.99905077590374	123.18723015102
1.7293333333333	0.99836160129205	120.23106428145
1.7340000000000	0.99680613357943	116.80311493502
1.7386666666667	0.99297870218271	112.49737053706
1.7433333333333	0.98196494329622	106.31984761885
1.7480000000000	0.93921239499418	95.062768720734
1.7526666666667	0.64827491599688	63.424991702352
1.7573333333333	0.51345637204155	170.13500995625
1.7620000000000	0.86371799073746	138.96156833407
1.7666666666667	0.93092576979147	127.51688633023
1.7713333333333	0.95069068668702	120.50128281399
1.7760000000000	0.92920320464654	110.15941408599
1.7806666666667	0.99099056350781	119.38936884221
1.7853333333333	0.98733488185794	113.76850851477
1.7900000000000	0.98788900276003	110.44482765732
1.7946666666667	0.98884195504485	107.65385980477
1.7993333333333	0.98959567778318	105.08494499422
1.8040000000000	0.98513002554224	102.26410365340
1.8086666666667	0.99201491254825	100.56471146785
1.8133333333333	0.99246702508343	98.238832535637
1.8180000000000	0.99302778455141	95.982916511772
1.8226666666667	0.99363318070451	93.749114075463
1.8250000000000	0.99394946666390	92.634620357584
