#Parameters = {height=140; phi=0; rad=80; theta=0; wid=250}
#"Wavelength / nm"	"SZmin(1),Zmax(1) (1) [Mag]"	"SZmin(1),Zmax(1) (1) [Pha in deg.]"
#-----------------------------------------------------------------------------------
1.3000000000000	0.98632235513066	-20.777709704249
1.3046666666667	0.99408103042686	-25.898997168015
1.3093333333333	0.99742104881106	-29.883143710577
1.3140000000000	0.99880290010609	-33.178396408577
1.3186666666667	0.99925563705478	-36.027491532853
1.3233333333333	0.99925083951944	-38.572416727301
1.3280000000000	0.99901976727627	-40.901446915198
1.3326666666667	0.99868155032913	-43.072218542764
1.3373333333333	0.99829965753582	-45.123901750307
1.3420000000000	0.99790855389244	-47.084018177243
1.3466666666667	0.99752701177194	-48.972455753082
1.3513333333333	0.99716506982354	-50.803935086079
1.3560000000000	0.99682780998421	-52.589580479725
1.3606666666667	0.99651747091894	-54.337952436057
1.3653333333333	0.99623465972607	-56.055745036499
1.3700000000000	0.99597905974708	-57.748268454328
1.3746666666667	0.99574984950744	-59.419790030091
1.3793333333333	0.99554595251334	-61.073780050931
1.3840000000000	0.99536618630448	-62.713091977593
1.3886666666667	0.99520935072139	-64.340096740101
1.3933333333333	0.99507427918790	-65.956784320844
1.3980000000000	0.99495986742647	-67.564841706636
1.4026666666667	0.99486508847682	-69.165713567156
1.4073333333333	0.99478899955947	-70.760650195750
1.4120000000000	0.99473074431226	-72.350746017681
1.4166666666667	0.99468955271558	-73.936971138342
1.4213333333333	0.99466474031547	-75.520197851278
1.4260000000000	0.99465570799274	-77.101223685040
1.4306666666667	0.99466194343542	-78.680792408908
1.4353333333333	0.99468302564816	-80.259614448059
1.4400000000000	0.99471863435416	-81.838388437238
1.4446666666667	0.99476856722252	-83.417826313475
1.4493333333333	0.99483276994993	-84.998685733747
1.4540000000000	0.99491138836484	-86.581816411784
1.4586666666667	0.99500486026073	-88.168232840475
1.4633333333333	0.99511408339885	-89.759238862566
1.4680000000000	0.99524074057279	-91.356660619048
1.4726666666667	0.99538797901091	-92.963326417643
1.4773333333333	0.99556198730615	-94.584178402542
1.4820000000000	0.99577623227552	-96.229282067812
1.4866666666667	0.99606561243150	-97.924062664154
1.4913333333333	0.99655477115897	-99.760662799449
1.4960000000000	0.99823151873671	-102.57489939554
1.5006666666667	0.99300420516366	-100.62222971583
1.5053333333333	0.99525659180999	-103.40046914337
1.5100000000000	0.99582704716719	-105.25934496905
1.5146666666667	0.99618379997454	-106.99283377962
1.5193333333333	0.99647655310069	-108.69149323939
1.5240000000000	0.99674492351314	-110.38121113233
1.5286666666667	0.99700375978593	-112.07311915521
1.5333333333333	0.99725973927940	-113.77369258526
1.5380000000000	0.99751616773556	-115.48782798656
1.5426666666667	0.99777472028195	-117.22012101742
1.5473333333333	0.99803617334693	-118.97562779027
1.5520000000000	0.99830074823052	-120.76056973060
1.5566666666667	0.99856829590576	-122.58328539617
1.5613333333333	0.99883843148692	-124.45585599544
1.5660000000000	0.99911068878786	-126.39734389797
1.5706666666667	0.99938469618423	-128.44123747862
1.5753333333333	0.99965963866945	-130.65591413822
1.5800000000000	0.99992350798228	-133.21821098999
1.5846666666667	0.99994551865237	-136.84906362796
1.5893333333333	0.93263869113866	-159.89751225950
1.5940000000000	0.99126101804831	-136.25601503926
1.5986666666667	0.29490809349045	-62.958847146689
1.6033333333333	0.99791721963036	-136.32674475118
1.6080000000000	0.99853932451351	-140.73597358196
1.6126666666667	0.99782122931082	-144.06353733679
1.6173333333333	0.99632826496341	-147.29063803653
1.6220000000000	0.99368710097775	-150.71562041752
1.6266666666667	0.98902832862969	-154.56964975477
1.6313333333333	0.98052444085269	-159.15741488559
1.6360000000000	0.96400274584292	-164.99405195826
1.6406666666667	0.92877496021672	-173.08088288343
1.6453333333333	0.84381359643649	174.43905897307
1.6500000000000	0.61648855906502	153.11801091466
1.6546666666667	0.10773989713689	119.18340137226
1.6593333333333	0.42607275249653	-93.996119050089
1.6640000000000	0.69505084988896	-115.00940434826
1.6686666666667	0.81037532675211	-127.56660972366
1.6733333333333	0.86381677482350	-136.09760760200
1.6780000000000	0.88883518488251	-142.87461605016
1.6826666666667	0.89463867206409	-149.41882897313
1.6873333333333	0.86801492245384	-158.40690907254
1.6920000000000	0.52664977056108	168.55301142134
1.6966666666667	0.98561942922852	-127.86863656469
1.7013333333333	0.99902829282656	-144.06149047883
1.7060000000000	0.99547221296651	-150.14413729894
1.7106666666667	0.99379151649529	-154.09013791628
1.7153333333333	0.99321629464074	-157.20299331384
1.7200000000000	0.99317848440320	-159.88845351931
1.7246666666667	0.99340125455469	-162.31785880441
1.7293333333333	0.99374805499020	-164.57807033703
1.7340000000000	0.99414893591282	-166.71883965777
1.7386666666667	0.99456698704323	-168.77124641084
1.7433333333333	0.99498243785998	-170.75599635793
1.7480000000000	0.99538474427780	-172.68758087140
1.7526666666667	0.99576847208629	-174.57654318337
1.7573333333333	0.99613107577778	-176.43079785882
1.7620000000000	0.99647166535522	-178.25644168253
1.7666666666667	0.99679030767517	179.94172515951
1.7713333333333	0.99708762638500	178.15985116423
1.7760000000000	0.99736457324392	176.39479353085
1.7806666666667	0.99762229993529	174.64394774166
1.7853333333333	0.99786208939420	172.90512323730
1.7900000000000	0.99808532165992	171.17645030833
1.7946666666667	0.99829345748266	169.45630846077
1.7993333333333	0.99848802651843	167.74326970401
1.8040000000000	0.99867060771384	166.03605229777
1.8086666666667	0.99884278878661	164.33348197894
1.8133333333333	0.99900609124366	162.63445887955
1.8180000000000	0.99916184970283	160.93792941360
