#Parameters = {ep=1.5; height=200; phi=0; rad=80; theta=0; wid=200}
#"Wavelength / nm"	"SZmin(1),Zmax(1) (ep=1.5) [Mag]"	"SZmin(1),Zmax(1) (ep=1.5) [Pha in deg.]"
#---------------------------------------------------------------------------------------------
1.0000000000000	0.99424877140683	-41.286485927846
1.0046666666667	0.99422572977328	-43.172274993061
1.0093333333333	0.99420840073103	-45.058447210023
1.0140000000000	0.99419681975825	-46.945019775180
1.0186666666667	0.99419100449533	-48.832010235789
1.0233333333333	0.99419095556686	-50.719436456373
1.0280000000000	0.99419665738925	-52.607316587045
1.0326666666667	0.99420807896297	-54.495669033700
1.0373333333333	0.99422517464847	-56.384512430068
1.0420000000000	0.99424788492491	-58.273865611630
1.0466666666667	0.99427613713110	-60.163747591398
1.0513333333333	0.99430984618799	-62.054177537560
1.0560000000000	0.99434891530236	-63.945174753003
1.0606666666667	0.99439323665123	-65.836758656721
1.0653333333333	0.99444269204692	-67.728948767128
1.0700000000000	0.99449715358242	-69.621764687290
1.0746666666667	0.99455648425725	-71.515226092113
1.0793333333333	0.99462053858365	-73.409352717512
1.0840000000000	0.99468916317340	-75.304164351595
1.0886666666667	0.99476219730541	-77.199680827929
1.0933333333333	0.99483947347439	-79.095922020919
1.0980000000000	0.99492081792103	-80.992907843384
1.1026666666667	0.99500605114404	-82.890658246391
1.1073333333333	0.99509498839472	-84.789193221455
1.1120000000000	0.99518744015449	-86.688532805169
1.1166666666667	0.99528321259611	-88.588697086423
1.1213333333333	0.99538210802934	-90.489706216300
1.1260000000000	0.99548392533167	-92.391580420829
1.1306666666667	0.99558846036507	-94.294340016740
1.1353333333333	0.99569550637947	-96.198005430420
1.1400000000000	0.99580485440410	-98.102597220292
1.1446666666667	0.99591629362734	-100.00813610284
1.1493333333333	0.99602961176642	-101.91464298258
1.1540000000000	0.99614459542762	-103.82213898623
1.1586666666667	0.99626103045845	-105.73064550156
1.1633333333333	0.99637870229251	-107.64018422113
1.1680000000000	0.99649739628854	-109.55077719149
1.1726666666667	0.99661689806455	-111.46244686843
1.1773333333333	0.99673699382842	-113.37521617856
1.1820000000000	0.99685747070621	-115.28910858829
1.1866666666667	0.99697811706937	-117.20414818056
1.1913333333333	0.99709872286238	-119.12035974056
1.1960000000000	0.99721907993208	-121.03776885105
1.2006666666667	0.99733898236020	-122.95640199881
1.2053333333333	0.99745822680073	-124.87628669315
1.2100000000000	0.99757661282361	-126.79745159838
1.2146666666667	0.99769394326664	-128.71992668175
1.2193333333333	0.99781002459752	-130.64374337902
1.2240000000000	0.99792466728799	-132.56893478021
1.2286666666667	0.99803768620249	-134.49553583828
1.2333333333333	0.99814890100395	-136.42358360432
1.2380000000000	0.99825813657971	-138.35311749325
1.2426666666667	0.99836522349098	-140.28417958513
1.2473333333333	0.99846999845017	-142.21681496804
1.2520000000000	0.99857230483084	-144.15107212989
1.2566666666667	0.99867199321667	-146.08700340845
1.2613333333333	0.99876892199694	-148.02466551082
1.2660000000000	0.99886295801842	-149.96412011680
1.2706666666667	0.99895397730639	-151.90543458457
1.2753333333333	0.99904186587152	-153.84868278227
1.2800000000000	0.99912652062535	-155.79394607676
1.2846666666667	0.99920785043536	-157.74131452101
1.2893333333333	0.99928577736337	-159.69088829632
1.2940000000000	0.99936023814951	-161.64277948752
1.2986666666667	0.99943118603311	-163.59711430075
1.3033333333333	0.99949859304740	-165.55403588343
1.3080000000000	0.99956245299866	-167.51370798231
1.3126666666667	0.99962278546285	-169.47631980135
1.3173333333333	0.99967964134400	-171.44209263004
1.3220000000000	0.99973311091414	-173.41128917759
1.3266666666667	0.99978333595260	-175.38422721027
1.3313333333333	0.99983052896273	-177.36130035165
1.3360000000000	0.99987500524466	-179.34301145291
1.3406666666667	0.99991723976662	178.66997056470
1.3453333333333	0.99995797547414	176.67670665838
1.3500000000000	0.99999844839673	174.67577959305
1.3546666666667	1.0000000000000	172.66482849422
1.3593333333333	1.0000000000000	170.63933992907
1.3640000000000	1.0000000000000	168.58875658994
1.3686666666667	1.0000000000000	166.47868876467
1.3733333333333	1.0000000000000	164.07430543860
1.3780000000000	0.99950179163620	163.97760461107
1.3826666666667	0.99976954955755	160.95954658864
1.3873333333333	0.99988242654088	158.76494820971
1.3920000000000	0.99993522592314	156.63670597923
1.3966666666667	0.99996559312039	154.51256971512
1.4013333333333	0.99998365039289	152.37055519316
1.4060000000000	0.99999114885909	150.19184891988
1.4106666666667	0.99998246276105	147.94655048880
1.4153333333333	0.99993137955919	145.56480941066
1.4200000000000	0.99969122204389	142.80256881873
1.4246666666667	0.99655515809235	137.58230675047
1.4293333333333	0.99562726029588	145.22605349934
1.4340000000000	0.99966080782904	139.55642882028
1.4386666666667	1.0000000000000	136.64093340382
1.4433333333333	1.0000000000000	134.05573325441
1.4480000000000	0.99958944641241	131.53706077762
1.4526666666667	0.99963024979010	129.03018005128
1.4573333333333	0.99964730790971	126.41951406367
1.4620000000000	0.99943079343810	123.67639644163
1.4666666666667	0.99891216489090	120.73257303697
1.4713333333333	0.99783432085864	117.47793375470
1.4760000000000	0.99557148821765	113.71871859532
1.4806666666667	0.99048227205306	109.07293658418
1.4853333333333	0.97745899557792	102.67000126221
1.4900000000000	0.93571976928302	92.077197516643
1.4946666666667	0.74168177495571	68.480058900867
1.4993333333333	0.11899635757932	-168.35702717736
1.5040000000000	0.74007473033138	148.60566437438
1.5086666666667	0.88400079661144	132.07842640564
1.5133333333333	0.93008103830541	123.61941839707
1.5180000000000	0.95033006857841	118.05594939454
